,Mean Reward ($),Mean ROI (%),Sharpe Ratio,Hit Rate (%),Max DD (%)
DQN,-26.580265800000028,-1.7487016973684228,-2658025635.6795993,0.0,0.0
A2C,0.0,0.0,0.0,0.0,0.0
PPO,59.920599,3.9421446710526316,5992059900.0,0.0,0.0
DDPG,680.9615430000001,44.800101513157905,68095380145.15679,0.0,0.0
Favorite,4.53,2.92258064516129,0.030695188181404216,56.774193548387096,-0.9079999999999998
No Bet,0.0,0.0,0.0,0.0,0.0
Supervised,-2.3999999999999995,-5.333333333333332,-0.04426502258774637,68.88888888888889,-0.42000000000000004
Dyna-Q,4.41,4.793478260869565,0.017743513278576595,39.130434782608695,-1.6480000000000006
SARSA,8.36,13.483870967741934,0.03574274558449328,38.70967741935484,-0.874
